qid;level;question
Q01;facile;Quel est le nombre de livres qui composent le CGI 2025 ?
Q02;facile;Quels sont les trois principaux impôts visés par le Livre Premier ?
Q03;facile;Quelles sont les personnes morales obligatoirement soumises à l’IS ?
Q04;facile;"Qu’est-ce qu’une ""société immobilière transparente"" ?"
Q05;facile;Quel est le taux normal de l’IS pour les sociétés ?
Q06;moyen;Quelles sont les conditions pour bénéficier de l’exonération temporaire de l’IS pour les sociétés industrielles ?
Q07;moyen;Quels sont les contribuables exclus du régime de la contribution professionnelle unique ?
Q08;moyen;Quelle est la condition pour qu’un déficit soit reportable au-delà de 4 ans ?
Q09;moyen;Quels sont les produits exonérés de retenue à la source au titre de l’IS ?
Q10;moyen;Quel est le taux d’IS applicable aux établissements de crédit et assurances ?
Q11;difficile;Quelles sont les conditions pour bénéficier de la réduction d’IS pour introduction en bourse ?
Q12;difficile;Quels sont les revenus exclus du champ de la retenue à la source sur les produits bruts versés à des non-résidents ?
Q13;difficile;Quelles sont les conditions pour l’imputation de l’impôt étranger sur l’IS dû au Maroc ?
Q14;difficile;Quelles sont les obligations déclaratives des OPCI pour bénéficier de l’exonération ?
Q15;difficile;Quelles sont les modalités de régularisation en cas de non-respect des conditions d’exonération ou de réduction d’impôt ?
Q01;facile;Quels sont les revenus exonérés de l’IR pour les ambassadeurs étrangers ?
Q02;facile;Quel abattement s’applique sur les revenus fonciers bruts pour déterminer le revenu net imposable ?
Q03;facile;Quel est le plafond de chiffre d’affaires pour l’exonération des exploitations agricoles ?
Q04;facile;Quel est le taux de la retenue à la source sur les produits bruts versés à des non-résidents ?
Q05;facile;Quelle est la durée minimale de conservation des titres acquis dans le cadre d’une prise de participation dans une jeune entreprise innovante ?
Q06;moyen;Quelles sont les conditions pour bénéficier de l’exonération des plus-values sur cession de résidence principale ?
Q07;moyen;Quel est le plafond de déduction pour les dons aux associations reconnues d’utilité publique ?
Q08;moyen;"Quels sont les revenus considérés comme ""salariaux"" au sens de l’IR ?"
Q09;moyen;Quel est le taux d’abattement forfaitaire sur les pensions et rentes viagères ?
Q10;moyen;Quelles sont les obligations déclaratives des sociétés non résidentes adjudicataires de marchés ?
Q11;difficile;Quelles sont les conditions pour qu’une société puisse opter pour l’imposition forfaitaire à 8 % sur les marchés de travaux ?
Q12;difficile;Quelles sont les règles d’évaluation des stocks et travaux en cours pour l’IS ?
Q13;difficile;Quels sont les cas d’exclusion du bénéfice de l’exonération des coopératives ?
Q14;difficile;Quels sont les produits non imposables au titre de l’IS ?
Q15;difficile;Comment est calculée la plus-value sur cession de biens amortissables sous le régime de la contribution professionnelle unique ?
